year,sample,serial,cbserial,numprec,subsamp,hhwt,hhtype,cluster,adjust,cpi99,strata,gq,lingisol,vacancy,vacdur,vacoth,kitchen,sink,stove,rooms,plumbing,hotwater,shower,builtyr2,unitsstr,bedrooms,coupletype,ssmc,nfams,nsubfam,ncouples,nmothers,nfathers,cbnsubfam,respmode
2022,2022 ACS,1,2022010000031,1,26,69,N/A,2022000000011,1.042311,.569,280301,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,2,2022010000111,1,76,22,N/A,2022000000021,1.042311,.569,200001,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,3,2022010000200,1,2,45,N/A,2022000000031,1.042311,.569,280301,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,4,2022010000261,1,92,4,N/A,2022000000041,1.042311,.569,110001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,5,2022010000296,1,81,47,N/A,2022000000051,1.042311,.569,150201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,6,2022010000409,1,5,38,N/A,2022000000061,1.042311,.569,180101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,7,2022010000420,1,6,13,N/A,2022000000071,1.042311,.569,150201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,8,2022010000574,1,9,38,N/A,2022000000081,1.042311,.569,270101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,9,2022010000598,1,94,66,N/A,2022000000091,1.042311,.569,120201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,10,2022010000612,1,40,31,N/A,2022000000101,1.042311,.569,280201,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,11,2022010000644,1,87,36,N/A,2022000000111,1.042311,.569,190101,Group quarters--Institutions,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,12,2022010000744,1,37,10,N/A,2022000000121,1.042311,.569,70001,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
2022,2022 ACS,13,2022010000777,1,12,64,N/A,2022000000131,1.042311,.569,210101,Other group quarters,N/A (group quarters/vacant),N/A,N/A,N/A (GQ/occupied/vacant with a response for VACS besides 'other vacant'),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Households without a same-sex married couple,1 family or N/A,No subfamilies or N/A (GQ/vacant unit),0 couples or N/A,0 mothers or N/A,0 fathers or N/A,No subfamilies or N/A (GQ/vacant unit),N/A
